customer_key,customer_id,age,gender,state,city,customer_type,customer_segment,loan_type,customer_since_date,age_group,region
1,5f21f3ab-9331-457e-a966-b455e5def9f9,25,F,Maharashtra,Pune,Retail,Premium,Credit Card,2022-10-29,18-25,West
2,cb511a66-756d-43b4-a5bd-280c08f008f5,48,F,Delhi,Delhi,Retail,Mass,Personal Loan,2022-02-25,46-55,North
3,6f5be536-f463-427d-bfb3-f3ed64d3ad2f,23,F,Uttar Pradesh,Noida,Retail,Premium,Personal Loan,2023-12-03,18-25,North
4,5c834755-4b8e-43d7-85e4-c438f08b6a64,34,M,Tamil Nadu,Chennai,Retail,High Value,Credit Card,2023-03-30,26-35,South
5,876d52cf-b94f-431e-912a-2b1259c5af1f,30,M,Maharashtra,Mumbai,Retail,Premium,Credit Card,2022-10-07,26-35,West
6,4c78f232-116a-4bd8-b6ee-32e0bbc42f60,39,F,Kerala,Kochi,Retail,High Value,Home Loan,2025-03-27,36-45,South
7,1fb576a7-aa7a-48b7-b409-38168ac16d35,30,F,Maharashtra,Pune,Retail,Mass,Personal Loan,2024-11-04,26-35,West
8,9461885d-a94d-4339-92f4-6c9a144fb880,34,M,Haryana,Gurugram,Retail,Mass,Personal Loan,2025-07-07,26-35,North
9,58d2cd11-51ca-4979-8ceb-9ff56d34baf1,35,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2024-12-01,26-35,West
10,11ef5130-6a78-40a7-ad5a-9d4a69d0e368,29,M,Delhi,Delhi,Retail,Premium,Credit Card,2023-08-08,26-35,North
11,2af93a57-5712-4210-b284-3e6b9152da7b,43,F,Delhi,Delhi,SME,High Value,None,2020-11-13,36-45,North
12,53bdb61b-d4f0-4ea2-bc34-13f6ea0fb27f,40,F,West Bengal,Kolkata,Retail,Premium,Auto Loan,2020-12-13,36-45,East
13,139c6aec-bfe1-4f65-b258-11a2ffefb52f,36,F,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2021-10-29,36-45,South
14,d600e801-a8e2-4e8f-9592-a08d0fb98d32,32,M,Haryana,Gurugram,Retail,Mass,Home Loan,2022-12-13,26-35,North
15,b6310514-234a-429f-8a2f-7264b22a3ad3,47,F,Delhi,Delhi,Retail,Premium,Personal Loan,2024-11-22,46-55,North
16,6139558d-4e3c-4f1e-b849-369ea4a6391e,35,M,Karnataka,Bengaluru,Retail,High Value,Credit Card,2024-01-16,26-35,South
17,81b96e6a-4b8e-433d-81fa-6fc5f9ccb2d9,34,F,Telangana,Hyderabad,SME,Mass,Auto Loan,2021-10-22,26-35,South
18,8bd1ef46-c614-4ff1-84f7-15c029b9252d,39,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2021-01-10,36-45,West
19,97a4b621-2e96-455a-9ed4-1e71091d263b,58,F,Haryana,Gurugram,Retail,Mass,None,2020-09-24,56-65,North
20,b284012d-f2c7-4bb3-a9de-4240ec1c1ff6,21,F,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2023-11-16,18-25,South
21,4743bb32-6364-4a52-b9a3-4a92aa42c1f8,47,M,Maharashtra,Pune,Retail,Wealth,Personal Loan,2023-05-04,46-55,West
22,3f09bc14-8cf5-4de0-aacb-757489132512,18,M,Delhi,Delhi,SME,Mass,Credit Card,2023-03-20,18-25,North
23,596afbae-9222-4ae7-b266-6ef6aa93a3e6,40,F,Kerala,Kochi,Retail,Mass,Auto Loan,2025-09-11,36-45,South
24,a0855e8f-3e81-47bc-8b0d-61a79ffd112b,56,M,Gujarat,Ahmedabad,Retail,Mass,Personal Loan,2025-05-14,56-65,West
