call_key,call_id,customer_key,campaign_key,bot_key,call_start_time,date_key,attempt_number,connection_status,days_past_due_at_call,dpd_bucket_at_call,outstanding_amount_at_call,risk_segment_at_call,fallback_flag,confidence_score,sentiment,sentiment_score,escalation_flag,call_duration_seconds,call_end_time,task_started_flag,task_completed_flag,resolution_flag,containment_flag,ptp_flag,ptp_amount,payment_status,payment_amount,hangup_reason,call_status,intent_key,identity_verified_flag
1589,781ee777-ee04-4659-8f29-b0e876f0223c,1,1,5,2026-01-17 14:44:54,20260117,1,Connected,0.0,0,0.0,Low,1,0.4326477754839568,Neutral,-0.2450396757146511,1,44,2026-01-17 14:45:38,1,0,0,0,1,1.0,Failed,,Transferred to Agent,Failed,3.0,1
6322,6389e0e9-24fc-4e30-89fa-9f01f8466aa5,1,1,5,2026-01-19 17:45:57,20260119,2,Voicemail,0.0,0,0.0,Low,0,,,,0,4,2026-01-19 17:46:01,0,0,0,0,0,,,,Voicemail,Failed,,0
3449,8ccb3f6c-3a29-4ff8-93e4-3d9566a31f5c,1,2,6,2026-06-29 11:58:05,20260629,1,Connected,39.0,31-60,28025.92686987007,Medium,1,0.5318044888987103,Neutral,-0.2470730710519618,1,77,2026-06-29 11:59:22,1,0,0,0,0,,,,Transferred to Agent,Failed,4.0,1
306,69e43ae8-d798-41cc-8672-787accd3172b,1,3,5,2026-01-22 13:43:51,20260122,1,No Answer,0.0,0,0.0,Low,0,,,,0,4,2026-01-22 13:43:55,0,0,0,0,0,,,,Network Drop,Failed,,0
5714,6b37c8ec-a9fb-472f-b4bb-586f631b4e7b,2,1,4,2026-01-01 15:27:49,20260101,1,No Answer,0.0,0,0.0,Low,0,,,,0,7,2026-01-01 15:27:56,0,0,0,0,0,,,,Network Drop,Failed,,0
8063,a1941a23-3235-4936-b15e-6f0ca823e973,2,1,2,2026-03-29 15:55:46,20260329,2,No Answer,79.0,61-90,62396.47614878608,High,0,,,,0,5,2026-03-29 15:55:51,0,0,0,0,0,,,,Network Drop,Failed,,0
9974,447f82c8-201b-40aa-aadd-26845d47edc3,2,1,1,2026-04-20 16:27:11,20260420,3,No Answer,97.0,90+,59830.97089119198,High,0,,,,0,9,2026-04-20 16:27:20,0,0,0,0,0,,,,Network Drop,Failed,,0
1886,a0f8ca4d-732c-445d-b479-b1087ab6738d,2,4,4,2026-02-24 12:12:57,20260224,1,Connected,18.0,1-30,61729.850073599744,Low,1,0.6294726236804896,Neutral,-0.0858434652806612,0,72,2026-02-24 12:14:09,1,1,1,1,0,,,,Customer Hung Up,Completed,17.0,1
5367,d63f26b4-015a-4738-a57b-5ca6af8b1e44,2,4,2,2026-06-16 19:13:59,20260616,2,Connected,0.0,0,0.0,Low,1,0.7390196013796854,Neutral,0.2930749958000814,0,59,2026-06-16 19:14:58,1,1,1,1,0,,,,Customer Hung Up,Completed,19.0,1
409,13e9a504-4051-40f8-a2b6-6c854aef5c2f,2,5,6,2026-04-11 10:37:46,20260411,1,Connected,67.0,61-90,47196.24914034751,High,1,0.5874925536813371,Neutral,0.0666499511584498,1,67,2026-04-11 10:38:53,1,0,0,0,0,,,,Transferred to Agent,Failed,9.0,1
4340,aa5852b1-9f6b-4343-8298-5a1dc9dd1b5d,2,6,2,2026-01-31 09:08:21,20260131,1,Connected,50.0,31-60,56867.0637430169,Medium,1,0.3889035138082173,Negative,-0.5194893466897889,1,77,2026-01-31 09:09:38,1,0,0,0,0,,,,Transferred to Agent,Failed,6.0,1
2726,a48a6e3e-ca39-4305-8aa0-5f60766b8268,3,1,3,2026-05-24 15:06:03,20260524,1,No Answer,0.0,0,0.0,Low,0,,,,0,2,2026-05-24 15:06:05,0,0,0,0,0,,,,Network Drop,Failed,,0
8592,903c0de7-7e9c-43b8-a529-c4872b532b4f,3,2,6,2026-01-01 12:24:16,20260101,1,Connected,0.0,0,0.0,Low,1,0.2712983254955294,Neutral,-0.1394123151892417,1,78,2026-01-01 12:25:34,1,0,0,0,0,,,,Transferred to Agent,Failed,17.0,1
7740,735b3d21-0534-4c5c-9f78-a5740bf397d0,3,2,5,2026-03-24 16:26:46,20260324,2,Connected,0.0,0,0.0,Low,1,0.6110695724749876,Neutral,0.198004491245107,0,69,2026-03-24 16:27:55,1,0,0,0,0,,,,System Error,Failed,8.0,1
