turn_key,turn_id,conversation_id,call_key,turn_number,speaker,timestamp,utterance,expected_intent_key,detected_intent_key,confidence_score,sentiment,sentiment_score,fallback_flag,escalation_trigger_flag
1,4c41766e-72c4-464f-8f16-59aa26626839,781ee777-ee04-4659-8f29-b0e876f0223c,1589.0,1,Bot,2026-01-17 14:44:58,Bot generated utterance 1,,,,,,0,0
2,f0c6f0dd-4d7f-4b4c-8ab1-d7414147f6b0,781ee777-ee04-4659-8f29-b0e876f0223c,1589.0,2,Customer,2026-01-17 14:45:03,Customer utterance 2,3.0,,0.4607453015681449,Neutral,-0.027765117448803,1,0
3,27d03004-2f4c-4a6e-99c4-ca04e58b54c6,781ee777-ee04-4659-8f29-b0e876f0223c,1589.0,3,Bot,2026-01-17 14:45:05,Bot generated utterance 3,,,,,,0,0
4,c3ace148-28c6-41aa-a068-b7f362739796,781ee777-ee04-4659-8f29-b0e876f0223c,1589.0,4,Customer,2026-01-17 14:45:14,Customer utterance 4,3.0,,0.5566455762500926,Negative,-0.3705746028951523,1,0
5,11c41f59-59a0-4e0f-b506-e29fea17a420,781ee777-ee04-4659-8f29-b0e876f0223c,1589.0,5,Bot,2026-01-17 14:45:21,Bot generated utterance 5,,,,,,0,0
6,288bced4-6f65-4772-9840-dd8004714cb3,781ee777-ee04-4659-8f29-b0e876f0223c,1589.0,6,Customer,2026-01-17 14:45:28,Customer utterance 6,3.0,,0.280552448633633,Negative,-0.3367793067999979,1,1
7,bc7c0d9b-4d4f-49cf-94fe-632b89f28548,8ccb3f6c-3a29-4ff8-93e4-3d9566a31f5c,3449.0,1,Bot,2026-06-29 11:58:09,Bot generated utterance 1,,,,,,0,0
8,747fa68c-dd75-4025-9777-b134e5c347eb,8ccb3f6c-3a29-4ff8-93e4-3d9566a31f5c,3449.0,2,Customer,2026-06-29 11:58:11,Customer utterance 2,4.0,,0.443969151657727,Negative,-0.3327313854017886,1,0
9,03f3145f-0011-4db7-8658-d2d36cba811b,8ccb3f6c-3a29-4ff8-93e4-3d9566a31f5c,3449.0,3,Bot,2026-06-29 11:58:22,Bot generated utterance 3,,,,,,0,0
10,dccfe622-e792-485d-9153-24b9e9e1eb58,8ccb3f6c-3a29-4ff8-93e4-3d9566a31f5c,3449.0,4,Customer,2026-06-29 11:58:24,Customer utterance 4,4.0,4.0,0.7390600065352706,Neutral,-0.1830279455269063,0,0
